bbox_x1, bbox_y1, bbox_x2, bbox_y2, fname, class_name
39, 116, 569, 375, 00001.jpg, 14
36, 116, 868, 587, 00002.jpg, 3
85, 109, 601, 381, 00003.jpg, 91
621, 393, 1484, 1096, 00004.jpg, 134
14, 36, 133, 99, 00005.jpg, 106
259, 289, 515, 416, 00006.jpg, 123
88, 80, 541, 397, 00007.jpg, 89
73, 79, 591, 410, 00008.jpg, 96
20, 126, 1269, 771, 00009.jpg, 167
21, 110, 623, 367, 00010.jpg, 58
51, 93, 601, 393, 00011.jpg, 49
6, 62, 499, 286, 00012.jpg, 186
30, 36, 418, 307, 00013.jpg, 135
31, 246, 778, 540, 00014.jpg, 85
32, 77, 589, 379, 00015.jpg, 193
27, 49, 611, 396, 00016.jpg, 172
39, 52, 233, 150, 00017.jpg, 14
3, 8, 190, 147, 00018.jpg, 73
247, 287, 1366, 761, 00019.jpg, 192
17, 281, 961, 596, 00020.jpg, 57
17, 156, 695, 375, 00021.jpg, 79
212, 538, 1893, 1131, 00022.jpg, 36
11, 28, 476, 234, 00023.jpg, 120
53, 126, 973, 621, 00024.jpg, 170
34, 87, 567, 343, 00025.jpg, 194
30, 174, 598, 379, 00026.jpg, 134
80, 107, 606, 336, 00027.jpg, 184
45, 115, 585, 382, 00028.jpg, 86
28, 139, 1564, 1126, 00029.jpg, 180
82, 109, 874, 521, 00030.jpg, 194
55, 318, 446, 564, 00031.jpg, 154
12, 31, 471, 350, 00032.jpg, 139
34, 197, 1011, 656, 00033.jpg, 66
37, 63, 614, 397, 00034.jpg, 133
223, 87, 1111, 670, 00035.jpg, 154
138, 41, 521, 223, 00036.jpg, 104
31, 87, 616, 344, 00037.jpg, 38
16, 89, 459, 326, 00038.jpg, 97
53, 113, 614, 350, 00039.jpg, 105
214, 110, 660, 403, 00040.jpg, 142
61, 55, 566, 408, 00041.jpg, 13
28, 61, 622, 371, 00042.jpg, 191
22, 39, 588, 362, 00043.jpg, 119
220, 193, 537, 364, 00044.jpg, 38
12, 108, 489, 297, 00045.jpg, 186
28, 80, 759, 466, 00046.jpg, 25
84, 248, 1102, 899, 00047.jpg, 194
142, 69, 753, 451, 00048.jpg, 177
166, 543, 887, 903, 00049.jpg, 173
20, 96, 564, 341, 00050.jpg, 42
41, 181, 607, 465, 00051.jpg, 91
39, 29, 774, 395, 00052.jpg, 148
161, 191, 425, 307, 00053.jpg, 15
58, 562, 1528, 1081, 00054.jpg, 97
80, 120, 582, 391, 00055.jpg, 42
32, 48, 472, 267, 00056.jpg, 53
260, 138, 972, 439, 00057.jpg, 44
11, 35, 256, 173, 00058.jpg, 65
68, 91, 607, 354, 00059.jpg, 90
129, 120, 345, 269, 00060.jpg, 124
11, 104, 1011, 742, 00061.jpg, 114
19, 21, 425, 265, 00062.jpg, 190
175, 330, 928, 647, 00063.jpg, 101
97, 39, 925, 700, 00064.jpg, 187
63, 175, 417, 320, 00065.jpg, 8
30, 39, 221, 125, 00066.jpg, 17
129, 89, 594, 432, 00067.jpg, 111
32, 43, 598, 350, 00068.jpg, 122
142, 124, 675, 445, 00069.jpg, 5
220, 313, 1054, 976, 00070.jpg, 29
8, 12, 639, 299, 00071.jpg, 126
92, 271, 1178, 749, 00072.jpg, 94
15, 12, 314, 230, 00073.jpg, 106
14, 12, 309, 223, 00074.jpg, 106
45, 74, 522, 253, 00075.jpg, 188
12, 27, 284, 166, 00076.jpg, 59
25, 25, 3502, 2017, 00077.jpg, 110
36, 88, 611, 417, 00078.jpg, 43
165, 126, 749, 425, 00079.jpg, 133
20, 21, 292, 217, 00080.jpg, 111
10, 55, 540, 271, 00081.jpg, 8
63, 113, 597, 413, 00082.jpg, 192
55, 48, 294, 205, 00083.jpg, 18
27, 67, 620, 474, 00084.jpg, 116
15, 80, 629, 402, 00085.jpg, 49
119, 300, 1416, 871, 00086.jpg, 145
17, 36, 455, 215, 00087.jpg, 49
171, 176, 2373, 1751, 00088.jpg, 170
49, 195, 1003, 617, 00089.jpg, 20
5, 43, 296, 211, 00090.jpg, 114
49, 57, 494, 419, 00091.jpg, 165
101, 84, 492, 272, 00092.jpg, 138
23, 53, 258, 144, 00093.jpg, 175
19, 60, 783, 440, 00094.jpg, 112
110, 171, 1213, 648, 00095.jpg, 122
39, 67, 346, 206, 00096.jpg, 104
3, 7, 76, 50, 00097.jpg, 57
65, 37, 578, 360, 00098.jpg, 51
27, 60, 486, 364, 00099.jpg, 37
22, 180, 454, 355, 00100.jpg, 71
70, 39, 940, 742, 00101.jpg, 193
99, 130, 396, 222, 00102.jpg, 105
85, 107, 609, 381, 00103.jpg, 61
1, 76, 480, 315, 00104.jpg, 74
57, 266, 967, 623, 00105.jpg, 133
69, 75, 236, 161, 00106.jpg, 162
24, 17, 249, 163, 00107.jpg, 131
7, 27, 212, 147, 00108.jpg, 88
18, 14, 248, 168, 00109.jpg, 121
19, 2, 591, 387, 00110.jpg, 180
52, 6, 759, 513, 00111.jpg, 180
231, 103, 430, 226, 00112.jpg, 137
91, 148, 700, 582, 00113.jpg, 133
19, 72, 624, 397, 00114.jpg, 71
26, 90, 376, 243, 00115.jpg, 83
132, 120, 667, 401, 00116.jpg, 110
84, 44, 663, 342, 00117.jpg, 42
87, 235, 591, 412, 00118.jpg, 177
173, 370, 1207, 960, 00119.jpg, 147
3, 19, 195, 114, 00120.jpg, 161
49, 143, 487, 455, 00121.jpg, 109
72, 67, 233, 176, 00122.jpg, 28
151, 568, 1954, 1271, 00123.jpg, 144
14, 88, 271, 178, 00124.jpg, 53
135, 761, 1894, 1353, 00125.jpg, 29
44, 123, 778, 487, 00126.jpg, 66
69, 103, 537, 322, 00127.jpg, 79
86, 78, 355, 284, 00128.jpg, 13
50, 80, 592, 273, 00129.jpg, 136
95, 161, 543, 368, 00130.jpg, 143
275, 195, 863, 474, 00131.jpg, 171
99, 78, 557, 389, 00132.jpg, 89
11, 126, 426, 360, 00133.jpg, 135
1, 2, 267, 185, 00134.jpg, 161
19, 735, 2669, 2192, 00135.jpg, 58
21, 35, 279, 195, 00136.jpg, 122
45, 99, 593, 403, 00137.jpg, 178
130, 282, 1425, 900, 00138.jpg, 56
72, 215, 628, 481, 00139.jpg, 184
62, 95, 633, 434, 00140.jpg, 191
13, 106, 476, 260, 00141.jpg, 40
78, 300, 952, 633, 00142.jpg, 60
72, 51, 566, 412, 00143.jpg, 155
66, 59, 283, 202, 00144.jpg, 71
