filepath,x1,y1,x2,y2,class_name
00001.jpg,33,148,485,480, 14
00002.jpg,20,87,493,445, 3
00003.jpg,68,116,480,406, 91
00004.jpg,151,145,361,404, 134
00005.jpg,49,170,472,469, 106
00006.jpg,230,343,458,494, 123
00007.jpg,70,85,432,423, 89
00008.jpg,58,84,473,437, 96
00009.jpg,8,76,507,468, 167
00010.jpg,16,117,498,391, 58
00011.jpg,40,112,480,474, 49
00012.jpg,6,100,510,464, 186
00013.jpg,30,55,428,469, 135
00014.jpg,19,209,497,460, 85
00015.jpg,25,92,471,457, 193
00016.jpg,21,52,488,422, 172
00017.jpg,77,137,460,395, 14
00018.jpg,7,27,486,512, 73
00019.jpg,84,156,466,415, 192
00020.jpg,8,221,492,469, 57
00021.jpg,11,170,474,409, 79
00022.jpg,51,198,461,417, 36
00023.jpg,11,53,487,443, 120
00024.jpg,26,84,486,414, 170
00025.jpg,28,98,480,387, 194
00026.jpg,24,213,487,465, 134
00027.jpg,65,131,492,411, 184
00028.jpg,37,142,483,474, 86
00029.jpg,8,59,500,480, 180
00030.jpg,46,94,499,450, 194
00031.jpg,27,212,223,376, 154
00032.jpg,12,42,482,477, 139
00033.jpg,17,131,505,437, 66
00034.jpg,29,67,491,423, 133
00035.jpg,90,54,452,420, 154
00036.jpg,121,83,459,456, 104
00037.jpg,24,104,492,414, 38
00038.jpg,17,126,489,463, 97
00039.jpg,42,136,491,421, 105
00040.jpg,146,120,450,439, 142
00041.jpg,48,58,452,435, 13
00042.jpg,22,69,497,420, 191
00043.jpg,18,47,505,444, 119
00044.jpg,170,225,417,424, 38
00045.jpg,12,147,500,405, 186
00046.jpg,18,83,494,484, 25
00047.jpg,26,105,352,383, 194
00048.jpg,89,65,474,426, 177
00049.jpg,53,260,283,433, 173
00050.jpg,17,120,497,428, 42
00051.jpg,32,193,485,496, 91
00052.jpg,24,35,490,476, 148
00053.jpg,164,260,435,419, 15
00054.jpg,18,239,488,461, 97
00055.jpg,66,141,480,462, 42
00056.jpg,32,78,483,433, 53
00057.jpg,110,141,414,451, 44
00058.jpg,21,92,504,456, 65
00059.jpg,54,97,485,377, 90
00060.jpg,165,204,441,459, 124
00061.jpg,5,69,505,497, 114
00062.jpg,21,38,483,484, 190
00063.jpg,86,218,460,427, 101
00064.jpg,48,26,462,466, 187
00065.jpg,64,248,427,453, 8
00066.jpg,59,102,436,329, 17
00067.jpg,103,94,475,460, 111
00068.jpg,25,50,478,409, 122
00069.jpg,90,119,432,427, 5
00070.jpg,70,133,337,416, 29
00071.jpg,6,20,508,501, 126
00072.jpg,36,163,471,451, 94
00073.jpg,24,25,502,490, 106
00074.jpg,22,25,494,475, 106
00075.jpg,41,132,485,452, 188
00076.jpg,20,73,484,454, 59
00077.jpg,3,5,504,479, 110
00078.jpg,28,93,488,444, 43
00079.jpg,112,137,511,463, 133
00080.jpg,34,48,498,496, 111
00081.jpg,9,93,502,460, 8
00082.jpg,50,120,477,440, 192
00083.jpg,93,109,501,466, 18
00084.jpg,21,71,496,505, 116
00085.jpg,12,85,503,428, 49
00086.jpg,40,166,483,484, 145
00087.jpg,18,78,498,470, 49
00088.jpg,33,46,468,461, 170
00089.jpg,24,130,501,411, 20
00090.jpg,8,97,505,480, 114
00091.jpg,39,60,395,446, 165
00092.jpg,86,127,419,412, 138
